code,description,category
86890,Autologous blood process,CLINICAL LABORATORY SERVICES
86891,Autologous blood op salvage,CLINICAL LABORATORY SERVICES
86927,Plasma fresh frozen,CLINICAL LABORATORY SERVICES
86930,Frozen blood prep,CLINICAL LABORATORY SERVICES
86931,Frozen blood thaw,CLINICAL LABORATORY SERVICES
86932,Frozen blood freeze/thaw,CLINICAL LABORATORY SERVICES
86945,Blood product/irradiation,CLINICAL LABORATORY SERVICES
86950,Leukacyte transfusion,CLINICAL LABORATORY SERVICES
86960,Vol reduction of blood/prod,CLINICAL LABORATORY SERVICES
86965,Pooling blood platelets,CLINICAL LABORATORY SERVICES
86985,Split blood or products,CLINICAL LABORATORY SERVICES
0002M,Liver dis 10 assays w/ash,CLINICAL LABORATORY SERVICES
0003M,Liver dis 10 assays w/nash,CLINICAL LABORATORY SERVICES
0004M,Scoliosis dna alys,CLINICAL LABORATORY SERVICES
0006M,Onc hep gene risk classifier,CLINICAL LABORATORY SERVICES
0007M,Onc gastro 51 gene nomogram,CLINICAL LABORATORY SERVICES
0011M,Onc prst8 ca mrna 12 gen alg,CLINICAL LABORATORY SERVICES
0012M,Onc mrna 5 gen rsk urthl ca,CLINICAL LABORATORY SERVICES
0013M,Onc mrna 5 gen recr urthl ca,CLINICAL LABORATORY SERVICES
0015M,Adrnl cortcl tum bchm asy 25,CLINICAL LABORATORY SERVICES
0016M,Onc bladder mrna 219 gen alg,CLINICAL LABORATORY SERVICES
0017M,Onc dlbcl mrna 20 genes alg,CLINICAL LABORATORY SERVICES
0018M,Trnsplj rnl meas cd154+cll,CLINICAL LABORATORY SERVICES
0019M,Cv ds plasma alys prtn bmrk,CLINICAL LABORATORY SERVICES
0020M,Onc cns alys 30000 dna loci,CLINICAL LABORATORY SERVICES
0898T,N-invas prst8 cancer est map,CLINICAL LABORATORY SERVICES
0961T,Shortwave ifr radiation img,CLINICAL LABORATORY SERVICES
1020T,Raman spectroscopy 1+skn les,CLINICAL LABORATORY SERVICES
0001U,Rbc dna hea 35 ag 11 bld grp,CLINICAL LABORATORY SERVICES
0002U,Onc clrct 3 ur metab alg plp,CLINICAL LABORATORY SERVICES
0003U,Onc ovar 5 prtn ser alg scor,CLINICAL LABORATORY SERVICES
0005U,Onco prst8 3 gene ur alg,CLINICAL LABORATORY SERVICES
0007U,Rx test prsmv ur w/def conf,CLINICAL LABORATORY SERVICES
0008U,Hpylori detcj abx rstnc dna,CLINICAL LABORATORY SERVICES
0009U,Onc brst ca erbb2 amp/nonamp,CLINICAL LABORATORY SERVICES
0010U,Nfct ds strn typ whl gen seq,CLINICAL LABORATORY SERVICES
0011U,Rx mntr lc-ms/ms oral fluid,CLINICAL LABORATORY SERVICES
0016U,Onc hmtlmf neo rna bcr/abl1,CLINICAL LABORATORY SERVICES
0017U,Onc hmtlmf neo jak2 mut dna,CLINICAL LABORATORY SERVICES
0018U,Onc thyr 10 microrna seq alg,CLINICAL LABORATORY SERVICES
0019U,Onc rna tiss predict alg,CLINICAL LABORATORY SERVICES
0021U,Onc prst8 detcj 8 autoantb,CLINICAL LABORATORY SERVICES
0022U,Tgsap nsm lung neo dna&rna23,CLINICAL LABORATORY SERVICES
0023U,Onc aml dna detcj/nondetcj,CLINICAL LABORATORY SERVICES
0024U,Glyca nuc mr spectrsc quan,CLINICAL LABORATORY SERVICES
0025U,Tenofovir liq chrom ur quan,CLINICAL LABORATORY SERVICES
0026U,Onc thyr dna&mrna 112 genes,CLINICAL LABORATORY SERVICES
0027U,Jak2 gene trgt seq alys,CLINICAL LABORATORY SERVICES
