code,short_desc,long_desc,is_header
E0800,Diab d/t undrl cond w hyprosm w/o nonket hyprgly-hypros coma,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),0
E0801,Diabetes due to underlying condition w hyprosm w coma,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,0
E0810,Diabetes due to underlying condition w ketoacidosis w/o coma,Diabetes mellitus due to underlying condition with ketoacidosis without coma,0
E0811,Diabetes due to underlying condition w ketoacidosis w coma,Diabetes mellitus due to underlying condition with ketoacidosis with coma,0
E0821,Diabetes due to underlying condition w diabetic nephropathy,Diabetes mellitus due to underlying condition with diabetic nephropathy,0
E0822,Diabetes due to undrl cond w diabetic chronic kidney disease,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,0
E0829,Diabetes due to undrl condition w oth diabetic kidney comp,Diabetes mellitus due to underlying condition with other diabetic kidney complication,0
E08311,Diab due to undrl cond w unsp diabetic rtnop w macular edema,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,0
E08319,Diab due to undrl cond w unsp diab rtnop w/o macular edema,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,0
E083211,"Diabetes with mild nonp rtnop with macular edema, right eye","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",0
E083212,"Diabetes with mild nonp rtnop with macular edema, left eye","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",0
E083213,"Diabetes with mild nonp rtnop with macular edema, bilateral","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",0
E083219,"Diabetes with mild nonp rtnop with macular edema, unsp","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",0
E083291,"Diabetes with mild nonp rtnop without macular edema, r eye","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye",0
E083292,"Diab with mild nonp rtnop without macular edema, left eye","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye",0
E083293,"Diabetes with mild nonp rtnop without macular edema, bi","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral",0
E083299,"Diabetes with mild nonp rtnop without macular edema, unsp","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",0
E083311,"Diabetes with moderate nonp rtnop with macular edema, r eye","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye",0
E083312,"Diab with moderate nonp rtnop with macular edema, left eye","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye",0
E083313,"Diabetes with moderate nonp rtnop with macular edema, bi","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",0
E083319,"Diabetes with moderate nonp rtnop with macular edema, unsp","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",0
E083391,"Diab with moderate nonp rtnop without macular edema, r eye","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",0
E083392,"Diab with moderate nonp rtnop without macular edema, l eye","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye",0
E083393,"Diabetes with moderate nonp rtnop without macular edema, bi","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",0
E083399,"Diab with moderate nonp rtnop without macular edema, unsp","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",0
E083411,"Diabetes with severe nonp rtnop with macular edema, r eye","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye",0
E083412,"Diabetes with severe nonp rtnop with macular edema, left eye","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",0
E083413,"Diabetes with severe nonp rtnop with macular edema, bi","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",0
E083419,"Diabetes with severe nonp rtnop with macular edema, unsp","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",0
E083491,"Diabetes with severe nonp rtnop without macular edema, r eye","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",0
E083492,"Diab with severe nonp rtnop without macular edema, left eye","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",0
E083493,"Diabetes with severe nonp rtnop without macular edema, bi","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",0
E083499,"Diabetes with severe nonp rtnop without macular edema, unsp","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",0
E083511,"Diab with prolif diabetic rtnop with macular edema, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye",0
E083512,"Diab with prolif diabetic rtnop with macular edema, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",0
E083513,"Diabetes with prolif diabetic rtnop with macular edema, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",0
E083519,"Diabetes with prolif diabetic rtnop with macular edema, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",0
E083521,"Diab with prolif diab rtnop with trctn dtch macula, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",0
E083522,"Diab with prolif diab rtnop with trctn dtch macula, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",0
E083523,"Diab with prolif diabetic rtnop with trctn dtch macula, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",0
E083529,"Diab with prolif diabetic rtnop with trctn dtch macula, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",0
E083531,"Diab with prolif diab rtnop with trctn dtch n-mcla, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",0
E083532,"Diab with prolif diab rtnop with trctn dtch n-mcla, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",0
E083533,"Diab with prolif diabetic rtnop with trctn dtch n-mcla, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",0
E083539,"Diab with prolif diabetic rtnop with trctn dtch n-mcla, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",0
E083541,"Diabetes with prolif diabetic rtnop with comb detach, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",0
E083542,"Diab with prolif diabetic rtnop with comb detach, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",0
E083543,"Diabetes with prolif diabetic rtnop with combined detach, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",0
E083549,"Diabetes with prolif diabetic rtnop with comb detach, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",0
E083551,"Diabetes with stable prolif diabetic retinopathy, right eye","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",0
