TrackId,Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes,UnitPrice
1,For Those About To Rock (We Salute You),1,1,1,"Angus Young, Malcolm Young, Brian Johnson",343719,11170334,0.99
2,Balls to the Wall,2,2,1,,342562,5510424,0.99
3,Fast As a Shark,3,2,1,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230619,3990994,0.99
4,Restless and Wild,3,2,1,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779,0.99
5,Princess of the Dawn,3,2,1,Deaffy & R.A. Smith-Diesel,375418,6290521,0.99
6,Put The Finger On You,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451,0.99
7,Let's Get It Up,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",233926,7636561,0.99
8,Inject The Venom,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",210834,6852860,0.99
9,Snowballed,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424,0.99
10,Evil Walks,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",263497,8611245,0.99
11,C.O.D.,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",199836,6566314,0.99
12,Breaking The Rules,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",263288,8596840,0.99
13,Night Of The Long Knives,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",205688,6706347,0.99
14,Spellbound,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",270863,8817038,0.99
15,Go Down,4,1,1,AC/DC,331180,10847611,0.99
16,Dog Eat Dog,4,1,1,AC/DC,215196,7032162,0.99
17,Let There Be Rock,4,1,1,AC/DC,366654,12021261,0.99
18,Bad Boy Boogie,4,1,1,AC/DC,267728,8776140,0.99
19,Problem Child,4,1,1,AC/DC,325041,10617116,0.99
20,Overdose,4,1,1,AC/DC,369319,12066294,0.99
21,Hell Ain't A Bad Place To Be,4,1,1,AC/DC,254380,8331286,0.99
22,Whole Lotta Rosie,4,1,1,AC/DC,323761,10547154,0.99
23,Walk On Water,5,1,1,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579,0.99
24,Love In An Elevator,5,1,1,"Steven Tyler, Joe Perry",321828,10552051,0.99
25,Rag Doll,5,1,1,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,0.99
26,What It Takes,5,1,1,"Steven Tyler, Joe Perry, Desmond Child",310622,10144730,0.99
27,Dude (Looks Like A Lady),5,1,1,"Steven Tyler, Joe Perry, Desmond Child",264855,8679940,0.99
28,Janie's Got A Gun,5,1,1,"Steven Tyler, Tom Hamilton",330736,10869391,0.99
29,Cryin',5,1,1,"Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995,0.99
30,Amazing,5,1,1,"Steven Tyler, Richie Supa",356519,11616195,0.99
31,Blind Man,5,1,1,"Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,0.99
32,Deuces Are Wild,5,1,1,"Steven Tyler, Jim Vallance",215875,7074167,0.99
33,The Other Side,5,1,1,"Steven Tyler, Jim Vallance",244375,7983270,0.99
34,Crazy,5,1,1,"Steven Tyler, Joe Perry, Desmond Child",316656,10402398,0.99
35,Eat The Rich,5,1,1,"Steven Tyler, Joe Perry, Jim Vallance",251036,8262039,0.99
36,Angel,5,1,1,"Steven Tyler, Desmond Child",307617,9989331,0.99
37,Livin' On The Edge,5,1,1,"Steven Tyler, Joe Perry, Mark Hudson",381231,12374569,0.99
38,All I Really Want,6,1,1,Alanis Morissette & Glenn Ballard,284891,9375567,0.99
39,You Oughta Know,6,1,1,Alanis Morissette & Glenn Ballard,249234,8196916,0.99
40,Perfect,6,1,1,Alanis Morissette & Glenn Ballard,188133,6145404,0.99
41,Hand In My Pocket,6,1,1,Alanis Morissette & Glenn Ballard,221570,7224246,0.99
42,Right Through You,6,1,1,Alanis Morissette & Glenn Ballard,176117,5793082,0.99
43,Forgiven,6,1,1,Alanis Morissette & Glenn Ballard,300355,9753256,0.99
44,You Learn,6,1,1,Alanis Morissette & Glenn Ballard,239699,7824837,0.99
45,Head Over Feet,6,1,1,Alanis Morissette & Glenn Ballard,267493,8758008,0.99
46,Mary Jane,6,1,1,Alanis Morissette & Glenn Ballard,280607,9163588,0.99
47,Ironic,6,1,1,Alanis Morissette & Glenn Ballard,229825,7598866,0.99
48,Not The Doctor,6,1,1,Alanis Morissette & Glenn Ballard,227631,7604601,0.99
49,Wake Up,6,1,1,Alanis Morissette & Glenn Ballard,293485,9703359,0.99
50,You Oughta Know (Alternate),6,1,1,Alanis Morissette & Glenn Ballard,491885,16008629,0.99
